a,b
1.0000,0.0895
1.0000,0.0902
1.0000,0.0909
1.0000,0.0917
1.0000,0.0926
1.0000,0.0936
1.0000,0.0946
1.0000,0.0958
1.0000,0.0970
1.0000,0.0982
1.0000,0.0996
1.0000,0.1011
1.0000,0.1026
1.0000,0.1043
1.0000,0.1060
1.0000,0.1079
1.0000,0.1098
1.0000,0.1119
1.0000,0.1141
1.0000,0.1164
1.0000,0.1188
1.0000,0.1214
1.0000,0.1240
1.0000,0.1268
1.0000,0.1297
1.0000,0.1327
1.0000,0.1359
1.0000,0.1392
1.0000,0.1426
1.0000,0.1462
1.0000,0.1498
1.0000,0.1537
1.0000,0.1576
1.0000,0.1617
1.0000,0.1659
1.0000,0.1702
1.0000,0.1746
1.0000,0.1792
1.0000,0.1838
1.0000,0.1886
1.0000,0.1935
1.0000,0.1984
1.0000,0.2035
1.0000,0.2086
1.0000,0.2139
1.0000,0.2192
1.0000,0.2246
1.0000,0.2300
1.0000,0.2356
1.0000,0.2412
1.0000,0.2468
1.0000,0.2525
1.0000,0.2583
1.0000,0.2641
1.0000,0.2700
1.0000,0.2759
1.0000,0.2818
1.0000,0.2878
1.0000,0.2937
1.0000,0.2997
1.0000,0.3057
1.0000,0.3117
1.0000,0.3178
1.0000,0.3238
1.0000,0.3298
1.0000,0.3358
1.0000,0.3418
1.0000,0.3478
1.0000,0.3538
1.0000,0.3598
1.0000,0.3658
1.0000,0.3718
1.0000,0.3778
1.0000,0.3838
1.0000,0.3898
1.0000,0.3958
1.0000,0.4018
1.0000,0.4078
1.0000,0.4138
1.0000,0.4198
1.0000,0.4258
1.0000,0.4318
1.0000,0.4378
1.0000,0.4438
1.0000,0.4498
1.0000,0.4558
1.0000,0.4619
1.0000,0.4679
1.0000,0.4739
1.0000,0.4800
1.0000,0.4860
1.0000,0.4921
1.0000,0.4981
1.0000,0.5042
1.0000,0.5102
1.0000,0.5162
1.0000,0.5223
1.0000,0.5283
1.0000,0.5344
1.0000,0.5404
1.0000,0.5464
1.0000,0.5524
1.0000,0.5584
1.0000,0.5644
1.0000,0.5704
1.0000,0.5763
1.0000,0.5822
1.0000,0.5882
1.0000,0.5941
1.0000,0.5999
1.0000,0.6058
1.0000,0.6116
1.0000,0.6174
1.0000,0.6232
1.0000,0.6289
1.0000,0.6346
1.0000,0.6403
1.0000,0.6459
1.0000,0.6516
1.0000,0.6571
1.0000,0.6627
1.0000,0.6682
1.0000,0.6737
1.0000,0.6791
1.0000,0.6845
1.0000,0.6899
1.0000,0.6952
1.0000,0.7005
1.0000,0.7057
1.0000,0.7110
1.0000,0.7161
1.0000,0.7213
1.0000,0.7264
1.0000,0.7314
1.0000,0.7364
1.0000,0.7414
1.0000,0.7464
1.0000,0.7513
1.0000,0.7561
1.0000,0.7610
1.0000,0.7658
1.0000,0.7705
1.0000,0.7752
1.0000,0.7799
1.0000,0.7846
1.0000,0.7892
1.0000,0.7937
1.0000,0.7983
1.0000,0.8028
1.0000,0.8072
1.0000,0.8116
1.0000,0.8160
1.0000,0.8204
1.0000,0.8247
